Numero de reserva,Fecha de reserva,Cliente,Orden,Titulo,Servicios,Importe total
1,08/10/2025,Ezequiel Lopez,1,Principal,"Mesa dulce, Mozos, Sonido, Tarjetas de invitación",200000.00
2,08/10/2025,Ezequiel Lopez,1,Secundario,"Mesa dulce, Sonido",100000.00
3,08/10/2025,Ezequiel Lopez,1,Secundario,"Mesa dulce, Mozos, Sonido, Tarjetas de invitación",500000.00
5,05/11/2025,Oscar Ramirez,3,Principal,"Mesa dulce, Sonido, Tarjetas de invitación",140000.00
6,05/11/2025,Oscar Ramirez,3,Principal,"Mesa dulce, Sonido, Tarjetas de invitación",140000.00
7,05/11/2025,Oscar Ramirez,3,Principal,"Mozos, Sonido",125000.00
8,01/12/2025,Ezequiel Lopez,1,Principal,"Mesa dulce, Sonido",65000.00
10,10/12/2025,Ezequiel Lopez,3,Principal,"Mesa dulce, Sonido, Tarjetas de invitación",75000.00
11,10/12/2025,Ezequiel Lopez,3,Principal,"Mesa dulce, Sonido, Tarjetas de invitación",75000.00
12,15/12/2025,Ezequiel Lopez,3,Principal,"Mesa dulce, Sonido, Tarjetas de invitación",75000.00
13,10/12/2025,Ezequiel Lopez,3,Principal,"Mesa dulce, Sonido",70000.00
